2014-01-07 21:01:54 startup archives install
2014-01-07 21:01:54 install base-files:armhf <none> 7.1wheezy2+rpi1
2014-01-07 21:01:54 status half-installed base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:55 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:55 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:55 install base-passwd:armhf <none> 3.5.26
2014-01-07 21:01:55 status half-installed base-passwd:armhf 3.5.26
2014-01-07 21:01:55 status unpacked base-passwd:armhf 3.5.26
2014-01-07 21:01:55 status unpacked base-passwd:armhf 3.5.26
2014-01-07 21:01:55 configure base-passwd:armhf 3.5.26 3.5.26
2014-01-07 21:01:55 status unpacked base-passwd:armhf 3.5.26
2014-01-07 21:01:55 status half-configured base-passwd:armhf 3.5.26
2014-01-07 21:01:56 status installed base-passwd:armhf 3.5.26
2014-01-07 21:01:56 configure base-files:armhf 7.1wheezy2+rpi1 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status unpacked base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:01:56 status half-configured base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:02:02 status installed base-files:armhf 7.1wheezy2+rpi1
2014-01-07 21:02:02 startup archives install
2014-01-07 21:02:03 upgrade dpkg 1.16.12 1.16.12
2014-01-07 21:02:03 status half-configured dpkg 1.16.12
2014-01-07 21:02:03 status unpacked dpkg 1.16.12
2014-01-07 21:02:03 status half-installed dpkg 1.16.12
2014-01-07 21:02:05 status half-installed dpkg 1.16.12
